what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837487293
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837489539
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1246837495405
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1246837501192
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837504578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837505794
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837505919
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837508556
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837511208
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837511348
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837516059
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837517931
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837521192
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837522486
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837522658
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837526574
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837528040
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837528180
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837531612
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837532860
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837533157
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837535310
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837536573
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837536729
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837540083
