what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930586172
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930593925
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930594081
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930684031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930685076
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930836043
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246930840552
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246930868508
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930910493
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930913129
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246931420376
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932106625
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1246932109059
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932112010
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932119577
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1246932119592
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932129968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932409504
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246932409535
executed,command,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors.lineNumberToggle,1246932414605
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932424199
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932492766
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246932492953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932500550
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246932520311
